ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2024,CDD_45_pa,CDD_85_pa,HDD_2024,HDD_45_pa,HDD_85_pa
,Austria,AT,,,,Austria,57.75,0.500497898584109,0.643302547446018,3037.58,-4.11300557898333,-6.26545782165809
AT7301,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7302,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7304,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7311,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7312,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7321,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7322,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7323,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7331,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7332,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7341,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7342,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7343,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7344,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7350,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7361,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7371,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7372,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7373,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7374,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7441,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7442,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7443,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7444,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7451,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7452,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT7453,Austria,AT,AT1,AT11,AT111,Mittelburgenland,178.35,0.887083333333333,1.06145833333333,2325.91,-4.15645833333332,-6.13291666666667
AT2421,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2422,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2423,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2424,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2425,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2443,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2462,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2471,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2473,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2474,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2475,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
AT2485,Austria,AT,AT1,AT11,AT112,Nordburgenland,231.21,1.15090277777833,1.389930555555,2220.03,-4.11493055555,-6.07416666666665
