ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2015,CDD_45_pa,CDD_85_pa,HDD_2015,HDD_45_pa,HDD_85_pa
,Belgium,BE,,,,Belgium,27.5305933034018,0.381139755814545,0.568623501866439,1757.50969583846,-3.51165285077803,-5.23802018656855
BE3570,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3600,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3620,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3621,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3630,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3631,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3700,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3717,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3720,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3721,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3722,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3723,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3724,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3730,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3732,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3740,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3742,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
BE3746,Belgium,BE,BE2,BE22,BE223,Arr. Tongeren,43.7396428571425,0.520714285715,0.753095238095,1719.21642857295,-3.58523809523333,-5.37142857143332
