ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2024,CDD_45_pa,CDD_85_pa,HDD_2024,HDD_45_pa,HDD_85_pa
,Bulgaria,BG,,,,Bulgaria,352.51,1.82918205804351,2.74846867276785,2108.87,-4.36993743759464,-6.15764122269047
BG4400,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4405,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4406,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4407,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4408,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4409,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4417,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4419,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4422,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4442,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4443,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
BG4444,Bulgaria,BG,BG4,BG42,BG423,Пазарджик,218.84,1.493680555555,2.35756944445,2485.25,-4.69881944445,-6.72881944445
