ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2024,CDD_45_pa,CDD_85_pa,HDD_2024,HDD_45_pa,HDD_85_pa
,Czech Republic,CZ,,,,Czech Republic,44.12,0.596503891266309,0.756334598567618,2779.84,-4.50159993518928,-6.61374816765713
CZ350 02,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ351 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ351 24,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ351 34,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ351 35,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ351 37,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ352 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ353 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ354 91,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ356 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ356 04,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 03,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 07,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 09,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 31,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 33,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 34,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 35,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 51,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ357 55,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ358 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ360 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ360 04,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ360 05,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ360 06,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ360 07,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ360 17,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ360 18,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 21,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 22,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 25,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 33,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 34,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 35,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 36,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 51,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 63,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 72,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ362 73,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ363 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ364 01,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ364 52,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ364 53,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ364 61,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ364 64,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ364 71,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ431 63,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ721 00,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ723 00,Czech Republic,CZ,CZ0,CZ04,CZ041,Karlovarský kraj,4.9,0.432208333333333,0.561249999999998,3030.21,-4.47920833333333,-6.58925
CZ747 73,Czech Republic,CZ,CZ0,CZ08,CZ080,Moravskoslezský kraj,31.01,0.488095238094998,0.621071428571667,2735.94,-4.57752380951667,-6.72071428571665
CZ790 52,Czech Republic,CZ,CZ0,CZ07,CZ071,Olomoucký kraj,40.34,0.546035353534998,0.695101010101667,2796.29,-4.66484848485,-6.86858585858332
CZ148 00,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ360 10,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ400 01,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ400 02,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ400 03,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ400 04,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ400 07,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ400 10,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ400 11,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ403 01,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ403 02,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
CZ403 13,Czech Republic,CZ,CZ0,CZ04,CZ042,Ústecký kraj,48.75,0.573816425119998,0.73463768116,2684.28,-4.54541062801665,-6.61830917875
