ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2024,CDD_45_pa,CDD_85_pa,HDD_2024,HDD_45_pa,HDD_85_pa
,Denmark,DK,,,,Denmark,0.06,0.144214558125212,0.249945092225575,2889.22,-4.06443854617878,-5.78094143831363
DK900,Denmark,DK,DK0,DK05,DK050,Nordjylland,0,0.0874415204678333,0.154429824561333,3016.89,-4.34472222221667,-6.10242690058332
DK960,Denmark,DK,DK0,DK05,DK050,Nordjylland,0,0.0874415204678333,0.154429824561333,3016.89,-4.34472222221667,-6.10242690058332
DK999,Denmark,DK,DK0,DK05,DK050,Nordjylland,0,0.0874415204678333,0.154429824561333,3016.89,-4.34472222221667,-6.10242690058332
DK7007,Denmark,DK,DK0,DK03,DK032,Sydjylland,0,0.1354901960785,0.238445378151667,2799.05,-3.86383753501667,-5.55418767506667
DK8245,Denmark,DK,DK0,DK04,DK042,Østjylland,0,0.160039215686333,0.273980392156667,3010.09,-4.3475882353,-6.20174509803333
DK800,Denmark,DK,DK0,DK01,DK012,Københavns omegn,0,0.185,0.311666666666665,2828.81,-3.93333333333333,-5.605
DK917,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1000,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1092,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1093,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1095,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1098,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1121,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1140,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1147,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1148,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1156,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1167,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1217,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1221,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1240,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1271,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1291,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1431,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1433,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1448,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1500,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1513,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1532,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1533,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
DK1558,Denmark,DK,DK0,DK01,DK011,Byen København,0,0.186666666666665,0.313333333333333,2717.06,-3.94,-5.61333333333333
