ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2015,CDD_45_pa,CDD_85_pa,HDD_2015,HDD_45_pa,HDD_85_pa
,Spain,ES,,,,Spain,214.56052721379,1.55487971278062,2.32384049736488,965.298278824819,-2.45953999248644,-3.71742008603559
ES1468,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES39880,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48001,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48002,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48003,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48004,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48005,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48006,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48007,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48008,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48009,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48010,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48011,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48012,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48013,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48014,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48015,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48070,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48071,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48080,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48100,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48110,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48111,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48112,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48113,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48114,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48115,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48116,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48120,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48130,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48140,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48141,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48142,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48143,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48144,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48145,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48150,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48160,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48170,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48180,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48190,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48191,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48192,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48194,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48195,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48196,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48200,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48210,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48211,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48212,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48213,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48215,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48220,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48230,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48240,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48249,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48250,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
ES48260,Spain,ES,ES2,ES21,ES213,Bizkaia,68.1915999999999,0.694133333333333,1.07753333333333,1055.226,-3.06533333333332,-4.64913333333332
