ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2024,CDD_45_pa,CDD_85_pa,HDD_2024,HDD_45_pa,HDD_85_pa
,France,FR,,,,France,62.86,0.849577171634483,1.26864588931244,2074.81,-3.20537824297706,-4.92084003374537
FR17000,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17001 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17002 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17003 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17004 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17005 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17006 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17007 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17008 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17009 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17010 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17011 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17012 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17013 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17014 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17015 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17016 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17017 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17018 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17019 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17020 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17021 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17022 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17023 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17024 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17025 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17026 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17027 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17028 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17029 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17030 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17031 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17032 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17033 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17034 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17035 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17036 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17037 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17038 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17039 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17040 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17041 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17042 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17043 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17044 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17045 CEDEX 1,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17051 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17052 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17053 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17054 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17055 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17056 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17071 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17072 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17073 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17074 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17075 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17076 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
FR17078 CEDEX 9,France,FR,FRI,FRI3,FRI32,Charente-Maritime,49.66,1.18274122807,1.84396929825,1561.96,-3.08888157895,-4.76304824561665
