ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2024,CDD_45_pa,CDD_85_pa,HDD_2024,HDD_45_pa,HDD_85_pa
,Croatia,HR,,,,Croatia,319.61,1.65618400875365,2.18026582387365,1913.42,-3.89131423912777,-5.73146055866745
HR40000,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40305,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40306,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40311,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40312,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40313,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40314,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40315,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40316,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40318,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40319,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40320,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40321,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40322,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40323,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40324,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40325,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
HR40326,Croatia,HR,HR0,HR04,HR046,Međimurska županija,184.85,1.401944444445,1.72027777778333,2305.33,-4.01027777778333,-5.81083333333332
