ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2015,CDD_45_pa,CDD_85_pa,HDD_2015,HDD_45_pa,HDD_85_pa
,Hungary,HU,,,,Hungary,154.067602049199,1.34130579140558,1.65360039823991,2004.04462326066,-4.21842390832499,-6.16685717977
HU4231,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4232,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4233,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4234,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4235,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4244,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4245,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4246,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4267,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4300,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4311,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4320,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4324,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4325,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4326,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4327,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
HU4331,Hungary,HU,HU3,HU32,HU323,Szabolcs-Szatmár-Bereg,144.352077464775,1.23856807511667,1.54762910798166,2114.72778168745,-4.43678403756665,-6.4288028169
