ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2015,CDD_45_pa,CDD_85_pa,HDD_2015,HDD_45_pa,HDD_85_pa
,Italy,IT,,,,Italy,228.932203212771,1.8816908606665,2.64281731474032,1343.73224421536,-3.13719745575408,-4.7313187496412
IT24010,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24011,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24012,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24013,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24014,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24015,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24016,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24017,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24018,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24019,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24020,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24021,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24022,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24023,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24024,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
IT24025,Italy,IT,ITC,ITC4,ITC46,Bergamo,129.89879032246,1.21747311828,1.68123655913332,1978.61701612888,-3.85553763441665,-5.75150537635
