ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2024,CDD_45_pa,CDD_85_pa,HDD_2024,HDD_45_pa,HDD_85_pa
,Lithuania,LT,,,,Lithuania,10.4,0.276140497363333,0.395919753417499,3225.15,-5.51784480877499,-7.45566950225333
LT70021,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT72001,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73001,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73004,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73010,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73014,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73017,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73021,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73025,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73028,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT73032,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74001,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74006,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74009,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74012,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74015,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74018,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74021,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74024,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74027,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74030,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74033,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74036,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74039,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74051,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74054,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74057,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74060,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT74063,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75001,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75008,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75011,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75014,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75017,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75020,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75023,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75026,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75029,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75032,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75035,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75038,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75041,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75044,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT75047,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT99023,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT99032,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT99035,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT99038,Lithuania,LT,LT0,LT02,LT027,Tauragės apskritis,8.53,0.252838541666667,0.354166666666667,3136.74,-5.30867187499998,-7.2240625
LT1001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT1013,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT1025,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT1031,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT1047,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT2007,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT2011,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT2017,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT2021,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT2025,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT2029,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT3001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT3011,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT4001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT4007,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT4013,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT5001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT5009,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT6001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT6005,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT7001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT7004,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT8001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT8009,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT8013,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT8018,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT9001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT9008,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT9020,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT10001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT10004,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT10007,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT10013,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT11001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT11005,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT11010,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT11013,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT12001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13004,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13007,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13010,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13013,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13016,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13019,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13022,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13025,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13028,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13031,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT13034,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT14001,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT14004,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT14007,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT14010,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT14013,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT14016,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
LT14019,Lithuania,LT,LT0,LT01,LT011,Vilniaus apskritis,17.22,0.316374695863333,0.45397810219,3262.05,-5.70835766423333,-7.68905109488333
