ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2024,CDD_45_pa,CDD_85_pa,HDD_2024,HDD_45_pa,HDD_85_pa
,Luxembourg,LU,,,,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1112,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1113,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1114,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1115,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1116,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1117,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1118,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1119,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1122,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1123,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1124,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1126,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1127,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1128,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1129,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1130,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1131,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1132,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1133,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1134,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1135,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1136,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1137,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
LU1138,Luxembourg,LU,LU0,LU00,LU000,Luxembourg,8.43,0.537696078431665,0.78612745098,2742.18,-3.68740196078333,-5.59166666666667
