ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2015,CDD_45_pa,CDD_85_pa,HDD_2015,HDD_45_pa,HDD_85_pa
,Malta,MT,,,,Malta,17.9911219601827,0.214446998182278,0.340711891218611,2666.47447569546,-5.56189779014722,-7.45464199933055
MTFNT,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTGRB,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTGSM,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTGSR,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTKCM,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTKMN,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTMFN,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTMXR,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTNDR,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTQLA,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTSLZ,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTSNT,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTVCT,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTXLN,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTXRA,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTXWK,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTZBB,Malta,MT,MT0,MT00,MT002,Gozo and Comino/Għawdex u Kemmuna,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTATD,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTBBG,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTBKR,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTBML,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTBRG,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTBZN,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTDGL,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTFGR,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTFRN,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTGDJ,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTGHR,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTGXQ,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTGZR,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTHMR,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTIKL,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTISL,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTKKP,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTKKR,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTLJA,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTLQA,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTMDN,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTMGR,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTMLH,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTMQB,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
MTMRS,Malta,MT,MT0,MT00,MT001,Malta,17.4605067567824,0.210067567568333,0.33420045045,2635.25782094888,-5.45483108108333,-7.33280405405
