ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2015,CDD_45_pa,CDD_85_pa,HDD_2015,HDD_45_pa,HDD_85_pa
,Norway,NO,,,,Norway,2.55383165100234,0.0532466784690565,0.103363130212569,3075.995265407,-5.2103553601824,-7.0789101502824
NO1300,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1301,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1302,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1303,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1304,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1305,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1306,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1307,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1308,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1309,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1311,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1312,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1313,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1314,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1316,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1317,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1318,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1319,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1321,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1322,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1323,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1324,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1325,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1326,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1327,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1328,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1329,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1330,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1331,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1332,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1333,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1334,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
NO1335,Norway,NO,NO0,NO08,NO082,Viken,6.51520489313698,0.1169067962915,0.220132179145556,2947.39223345594,-4.90841010499444,-6.71943355971666
