ZIP Code,Country,NUTS 0,NUTS 1,NUTS 2,NUTS 3,NUTS 3 Name,CDD_2015,CDD_45_pa,CDD_85_pa,HDD_2015,HDD_45_pa,HDD_85_pa
,United Kingdom,UK,,,,United Kingdom,7.12853633984749,0.121583970686867,0.221716649459831,1539.20754062362,-2.73946284405726,-4.07169241102281
UKEH10,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH17,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH18,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH19,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH20,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH21,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH22,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH23,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH24,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH25,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH26,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH31,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH32,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH33,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH34,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH35,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH36,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH37,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH38,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH39,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH40,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH41,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH42,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKEH46,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKTD11,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKTD13,United Kingdom,UK,UKM,UKM7,UKM73,East Lothian and Midlothian,0.170416666666775,0.00361111111111667,0.0266666666666667,1868.03770833323,-3.35319444444998,-4.79638888888332
UKCH7,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKCH8,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKLL11,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKLL15,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKLL16,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKLL17,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKLL18,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKLL19,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKLL20,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
UKLL21,United Kingdom,UK,UKL,UKL1,UKL13,Conwy and Denbighshire,0.65115384615415,0.0156410256410333,0.0507692307691667,1829.91038462008,-2.96948717948333,-4.42903846153333
