Region,Country,Region Code,Property Type,Abbreviation,Code,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Europe,Austria,AT,Residential Single-Family,RSF,AT.RSF.EUI,kWh/sqm,211.144064968127,194.102594781446,178.436544293004,164.034903165924,150.795620724813,138.624882820094,127.436447056733,117.151031676756,107.695753765156,99.0036127982855,91.0130158751351,83.667341267278,76.9145371947578,70.7067529848405,64.9999999999999,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Europe,Austria,AT,Residential Multi-Family,RMF,AT.RMF.EUI,kWh/sqm,157.603962779781,147.098707176995,137.293690282254,128.142236958202,119.60078324717,111.628668992273,104.187944281555,97.2431887938011,90.7613431860463,84.7115517201178,79.0650153790744,73.7948547743186,68.8759821907787,64.2849821610516,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Europe,Austria,AT,Office,OFF,AT.OFF.EUI,kWh/sqm,251.247818023744,235.47441098214,220.691262768084,206.836204660326,193.850970907015,181.680953696209,170.274973509403,159.585063892324,149.566269737877,140.176458232939,131.376141673973,123.128311406316,115.398282188814,108.153546329282,101.363636977378,95.0000000000001,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Europe,Austria,AT,Retail High Street,RHS,AT.RHS.EUI,kWh/sqm,305.48224598693,287.033327968986,269.698591153074,253.410747053777,238.106570923486,223.726656332021,210.215184567882,197.519707965992,185.590946320876,174.382595595011,163.851148179811,153.955724011545,144.657911886635,135.921620360359,127.712937650197,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
Europe,Austria,AT,Shopping Center,RSM,AT.RSM.EUI,kWh/sqm,277.938764791388,261.283525421894,245.626336823271,230.907391668881,217.070466534248,204.062707134838,191.834426433264,180.338914844754,169.532261815881,159.37318809504,149.822888053969,140.844881458017,132.404874118948,124.470626898003,117.01183255885,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Austria,AT,Retail Warehouse,RWB,AT.RWB.EUI,kWh/sqm,218.788292732598,205.423631503846,192.875349284814,181.093577644413,170.031494359736,159.645137338734,149.893229909403,140.737016781167,132.140110026543,124.068344471002,116.48964191632,109.373883657842,102.692790789009,96.4198118174713,90.5300171461657,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Europe,Austria,AT,Hotel,HOT,AT.HOT.EUI,kWh/sqm,275.434811955429,258.283617684522,242.200420094318,227.118715541282,212.976141532018,199.714218855829,187.278109774552,175.616391269807,164.680842410023,154.426244958021,144.810196394667,135.792934585455,127.337173365016,119.4079483597,111.972472410716,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
Europe,Austria,AT,Distribution Warehouse Cold,DWC,AT.DWC.EUI,kWh/sqm,188.335762216378,176.310080518792,165.052266902072,154.513291181948,144.647253866817,135.411186255643,126.764863300091,118.670628415834,111.093229480088,103.999665301079,97.3590418908025,91.1424379151028,85.3227787350805,79.8747184912548,74.7745297169286,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Europe,Austria,AT,Distribution Warehouse Warm,DWW,AT.DWW.EUI,kWh/sqm,71.9337980687555,67.5777272539881,63.4854455543893,59.640978781237,56.0293200893828,52.6363713981523,49.4488883596008,46.4544286593072,43.6413034478999,40.998531713727,38.5157974185661,36.1834092290513,33.9922626866318,31.933804668391,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Europe,Austria,AT,Healthcare,HEC,AT.HEC.EUI,kWh/sqm,309.308815733441,289.925503909385,271.756877080251,254.72681514591,238.763968189176,223.801457544965,209.776595602424,196.630623166078,184.30846327565,172.758490453138,161.932314410383,151.784577310925,142.272763736767,133.357022563852,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
