Country,Postal_Code,Pathway_Region
USA,501,NYSTc_Mixed mild_4A
USA,6390,NYSTc_Mixed mild_4A
USA,11701,NYSTc_Mixed mild_4A
USA,11702,NYSTc_Mixed mild_4A
USA,11703,NYSTc_Mixed mild_4A
USA,11704,NYSTc_Mixed mild_4A
USA,11705,NYSTc_Mixed mild_4A
USA,11706,NYSTc_Mixed mild_4A
USA,11713,NYSTc_Mixed mild_4A
USA,11715,NYSTc_Mixed mild_4A
USA,11716,NYSTc_Mixed mild_4A
USA,11717,NYSTc_Mixed mild_4A
USA,11718,NYSTc_Mixed mild_4A
USA,11719,NYSTc_Mixed mild_4A
USA,11720,NYSTc_Mixed mild_4A
USA,11721,NYSTc_Mixed mild_4A
USA,11722,NYSTc_Mixed mild_4A
USA,11724,NYSTc_Mixed mild_4A
USA,11725,NYSTc_Mixed mild_4A
USA,11726,NYSTc_Mixed mild_4A
USA,11727,NYSTc_Mixed mild_4A
USA,11729,NYSTc_Mixed mild_4A
USA,11730,NYSTc_Mixed mild_4A
USA,11731,NYSTc_Mixed mild_4A
USA,11733,NYSTc_Mixed mild_4A
USA,11735,NYSTc_Mixed mild_4A
USA,11738,NYSTc_Mixed mild_4A
USA,11739,NYSTc_Mixed mild_4A
USA,11740,NYSTc_Mixed mild_4A
USA,11741,NYSTc_Mixed mild_4A
USA,11742,NYSTc_Mixed mild_4A
USA,11743,NYSTc_Mixed mild_4A
USA,11746,NYSTc_Mixed mild_4A
USA,11747,NYSTc_Mixed mild_4A
USA,11749,NYSTc_Mixed mild_4A
USA,11751,NYSTc_Mixed mild_4A
USA,11752,NYSTc_Mixed mild_4A
USA,11754,NYSTc_Mixed mild_4A
USA,11755,NYSTc_Mixed mild_4A
USA,11757,NYSTc_Mixed mild_4A
USA,11758,NYSTc_Mixed mild_4A
USA,11763,NYSTc_Mixed mild_4A
USA,11764,NYSTc_Mixed mild_4A
USA,11766,NYSTc_Mixed mild_4A
USA,11767,NYSTc_Mixed mild_4A
USA,11768,NYSTc_Mixed mild_4A
USA,11769,NYSTc_Mixed mild_4A
USA,11770,NYSTc_Mixed mild_4A
USA,11772,NYSTc_Mixed mild_4A
USA,11776,NYSTc_Mixed mild_4A
USA,11777,NYSTc_Mixed mild_4A
USA,11778,NYSTc_Mixed mild_4A
USA,11779,NYSTc_Mixed mild_4A
USA,11780,NYSTc_Mixed mild_4A
USA,11782,NYSTc_Mixed mild_4A
USA,11784,NYSTc_Mixed mild_4A
USA,11786,NYSTc_Mixed mild_4A
USA,11787,NYSTc_Mixed mild_4A
USA,11788,NYSTc_Mixed mild_4A
USA,11789,NYSTc_Mixed mild_4A
USA,11790,NYSTc_Mixed mild_4A
