State_Code,State_Name,CDD_Baseline_1995_2014,CDD_45_pa,CDD_85_pa,HDD_Baseline_1995_2014,HDD_45_pa,HDD_85_pa
MEX.1621,Aguascalientes,744.23,13.5256,18.2407,1042.05,-9.7647,-11.3758
MEX.16210,Jalisco,1792.01,17.0178,22.9347,340.47,-4.008,-4.5791
MEX.16211,Estado de México,539.39,6.6582,9.7856,1946.56,-15.2531,-19.2227
MEX.16212,Michoacán de Ocampo,2529.97,16.1024,22.2184,402.69,-4.3951,-5.2089
MEX.16213,Morelos,2576.32,17.9042,24.7078,311.26,-3.4542,-4.1911
MEX.16214,Nuevo León,3062.24,17.8622,22.9711,860.77,-6.3909,-7.5818
MEX.16215,Oaxaca,2516.04,17.0031,24.1951,259.48,-3.1651,-3.7716
MEX.16216,Puebla,1413.38,12.9673,18.2024,975.02,-8.7951,-10.7318
MEX.16217,Querétaro,969.67,15.1436,20.3053,751.88,-7.4924,-8.8567
MEX.16218,Quintana Roo,5360.78,17.3198,24.0051,0.4,-0.0084,-0.0089
MEX.16219,San Luis Potosí,1700.97,16.8156,21.572,749.95,-6.6911,-7.9058
MEX.1622,Campeche,5987.37,19.1458,26.7527,0.35,-0.0076,-0.0078
MEX.16220,Tabasco,5560.16,20.1458,27.164,1.19,-0.0216,-0.0229
MEX.16221,Tamaulipas,3900.96,19.2811,24.6449,343.93,-2.8411,-3.3962
MEX.16222,Tlaxcala,11.6,1.8824,3.7731,2391.85,-20.6042,-25.4773
MEX.16223,Veracruz de Ignacio de la Llave,4047.74,19.478,25.7618,178.52,-1.6711,-2.0007
MEX.16224,Yucatán,5672.18,17.5333,24.4422,0.47,-0.0096,-0.0104
MEX.16225,Zacatecas,853.38,13.4318,17.7602,1226.79,-10.2053,-12.1084
MEX.16226,Baja California,2298.51,14.0491,18.5091,1067.84,-8.2929,-9.808
MEX.16227,Baja California Sur,3185.22,16.4876,21.572,196.27,-2.5071,-2.9264
MEX.16228,Colima,3939.95,19.1922,25.6507,6.41,-0.1127,-0.1238
MEX.16229,Chihuahua,1630.14,13.6436,17.8833,2048.76,-11.7233,-14.044
MEX.1623,Coahuila de Zaragoza,2781.62,18.2858,23.4002,1015.43,-7.17,-8.5522
MEX.16230,Nayarit,2900.52,18.7098,25.1484,136.62,-1.7773,-2.0044
MEX.16231,Sinaloa,3838.17,19.8262,25.7224,150.95,-1.6238,-1.8989
MEX.16232,Sonora,3422.71,18.6529,24.3453,840.43,-6.0529,-7.2698
MEX.1624,Chiapas,3162.64,19.3778,27.3889,94.42,-1.2451,-1.4216
MEX.1625,Ciudad de México,43.74,2.6936,4.414,2661.99,-19.5653,-24.986
MEX.1626,Durango,1135.7,12.0653,16.2542,1648.96,-11.4413,-13.6424
MEX.1627,Guanajuato,886.76,14.8498,20.0373,763.87,-8.0011,-9.202
MEX.1628,Guerrero,3680.44,18.9389,26.1464,24.54,-0.4,-0.4478
MEX.1629,Hidalgo,791.09,11.7033,16.1244,1194.51,-10.7162,-12.8896
